player_name,player_team,hr_2019
Ronald Acuna Jr.,Braves,41.0
Freddie Freeman,Braves,38.0
Ozzie Albies,Braves,24.0
Marcell Ozuna,Braves,29.0
Dansby Swanson,Braves,17.0
Austin Riley,Braves,18.0
Travis d'Arnaud,Braves,16.0
Ender Inciarte,Braves,5.0
Johan Camargo,Braves,7.0
Tyler Flowers,Braves,11.0
Adam Duvall,Braves,10.0
Adeiny Hechavarria,Braves,9.0
Yonder Alonso,Braves,10.0
Charlie Culberson,Braves,5.0
Alex Jackson,Braves,0.0
Peter O'Brien,Braves,1.0
Rafael Ortega,Braves,2.0
